nome;cpf;data_inscricao
Fábio Moura Vieira;87873605949;30/04/2025
Wesley Ribeiro Batista;98430356312;24/08/2025
Natália Castro Barbosa;00505761947;20/09/2025
Wesley Oliveira Correia;94603359349;24/03/2025
Kevin Souza Freitas;11976399505;07/01/2025
Marcelo Freitas Barros;63746514304;12/10/2025
José Lima Alves;58876035427;05/10/2025
Bianca Almeida Lima;16855807348;27/02/2025
Marcelo Dias Martins;19101247964;02/12/2025
Miguel Barros Lima;79398671727;14/04/2025
Ingrid Martins Silva;44737882968;28/01/2025
Talita Nascimento Ramos;17371263383;23/02/2025
Mariana Moreira Machado;48814350272;13/02/2025
Bernardo Mendes Carvalho;94670356267;04/06/2025
Ana Araújo Carvalho;21137094303;05/09/2025
Rafael Fernandes Campos;58030946333;06/12/2025
Yasmin Batista Lima;02627148923;28/06/2025
João Farias Machado;20608542881;03/09/2025
Juliana Lopes Barros;24341827391;19/04/2025
Mariana Oliveira Costa;47609241598;30/05/2025
Fábio Dias Monteiro;94556089441;09/03/2025
Patrícia Ramos Ramos;46495482175;03/07/2025
Mariana Correia Souza;42169420592;01/06/2025
Zélia Moura Farias;88494415336;28/09/2025
Caio Moura Pinto;24184652336;19/05/2025
Nathalia Lima Castro;78718301398;13/02/2025
Elisa Dias Fernandes;46169195347;05/07/2025
Tiago Vieira Pinto;28678387114;08/06/2025
Sérgio Freitas Castro;03814001400;26/06/2025
Bianca Vieira Gomes;79279780123;04/02/2025
Thiago Campos Araújo;42717745882;07/07/2025
Bianca Cardoso Ribeiro;78622691365;25/01/2025
Bruno Costa Barbosa;87371246330;10/11/2025
Ana Moreira Rodrigues;16901285183;19/05/2025
José Costa Barbosa;76029401564;10/05/2025
Otávio Campos Machado;14872623886;25/03/2025
Paulo Lopes Nascimento;79322401826;14/01/2025
Pedro Barbosa Monteiro;97606593604;24/03/2025
Larissa Araújo Lopes;42061033300;20/04/2025
Letícia Alves Barros;23611744131;05/12/2025
Hugo Monteiro Oliveira;33384445406;31/10/2025
Miguel Lima Araújo;95838527161;23/08/2025
William Correia Alves;26401662042;21/05/2025
Letícia Ramos Moura;61117551539;21/11/2025
Isabela Santos Alves;43174246652;05/09/2025
Sérgio Moreira Fernandes;97176324727;18/12/2025
Tiago Moura Souza;83614638448;31/10/2025
Bruno Dias Teixeira;99441194743;12/07/2025
Ana Barbosa Fernandes;37356875470;12/02/2025
Débora Pereira Lopes;66722668363;12/09/2025
Gustavo Campos Rodrigues;38673875676;05/01/2025
Helena Moreira Moura;15144574076;03/10/2025
Carla Carvalho Ribeiro;25344187505;24/06/2025
Simone Cardoso Cavalcanti;27633856483;04/12/2025
Miguel Silva Mendes;76517683291;21/01/2025
Letícia Pereira Teixeira;16937427050;10/08/2025
Nathalia Carvalho Moreira;05860376243;16/04/2025
Elisa Pereira Correia;81568849222;19/09/2025
Valentina Rocha Cardoso;94334255370;23/02/2025
Nathalia Pinto Cardoso;84999515202;19/07/2025
Paulo Castro Machado;07389170603;05/07/2025
Tiago Costa Dias;97757104483;02/10/2025
Juliana Monteiro Ramos;53936386986;17/08/2025
Tiago Fernandes Moreira;50620798378;01/03/2025
Wesley Alves Ribeiro;94175706682;24/12/2025
Ana Rodrigues Castro;92653927039;06/11/2025
Débora Lopes Cavalcanti;87370494616;17/08/2025
Enzo Alves Ribeiro;90334531853;15/09/2025
Vanessa Cavalcanti Lima;78137537805;23/04/2025
Karina Santos Rocha;17442984320;20/06/2025
Zélia Oliveira Cavalcanti;05870102405;20/05/2025
Thiago Farias Machado;82844564437;29/08/2025
Bruno Cardoso Lima;13085209808;01/08/2025
João Nascimento Ribeiro;41342314182;16/12/2025
José Barros Lima;37310710290;14/02/2025
Gabriela Carvalho Gomes;80809559218;22/05/2025
Hugo Souza Lopes;04589498251;22/05/2025
Fábio Fernandes Gomes;70267011776;10/08/2025
Nicolas Monteiro Lopes;28445300440;03/07/2025
Fernanda Nunes Batista;39808653120;31/12/2025
Gabriela Monteiro Cardoso;38828266309;01/01/2025
Rafael Campos Rodrigues;23249789895;25/11/2025
Vinícius Campos Cavalcanti;53652832361;04/01/2025
Felipe Ribeiro Ribeiro;62535296764;04/11/2025
Débora Santos Cardoso;89951984940;21/01/2025
Sérgio Moura Rocha;71932162607;15/09/2025
Ingrid Farias Machado;05225199895;12/12/2025
Elisa Machado Mendes;10816055459;28/01/2025
Marcelo Machado Barbosa;42522177680;16/08/2025
Helena Mendes Moura;76703367302;10/08/2025
Kevin Campos Alves;00838540619;29/10/2025
Ingrid Fernandes Pinto;68289975147;27/12/2025
Fábio Araújo Cavalcanti;42591681007;18/01/2025
Enzo Dias Teixeira;81404347445;16/06/2025
Otávio Castro Nascimento;68488307551;21/06/2025
Elisa Fernandes Souza;33732347516;17/07/2025
Enzo Mendes Fernandes;69819990050;14/03/2025
Thiago Batista Ribeiro;01955469385;26/05/2025
Daniel Pereira Batista;08054596936;25/12/2025
Sabrina Martins Machado;85533810803;07/10/2025
Rafael Vieira Almeida;68798712918;24/04/2025
Nathalia Dias Almeida;00835995330;03/08/2025
