nome;cpf;data_inscricao
Sérgio Freitas Castro;03814001400;07/07/2025
Letícia Ramos Moura;61117551539;04/11/2025
João Lima Machado;40018636187;06/12/2025
Fábio Moura Barros;62148255452;07/08/2025
Hugo Monteiro Oliveira;33384445406;14/10/2025
Otávio Lima Ramos;88303034880;11/11/2025
Ana Rodrigues Castro;92653927039;28/05/2025
Marcelo Almeida Pinto;57126316950;04/02/2025
Thiago Campos Araújo;42717745882;02/07/2025
Ingrid Farias Machado;05225199895;23/10/2025
Gabriela Carvalho Gomes;80809559218;21/11/2025
Juliana Cardoso Almeida;07072675795;27/05/2025
Hugo Monteiro Oliveira;33384445406;26/02/2025
Rafael Barros Dias;75174046523;24/08/2025
Juliana Lopes Barros;24341827391;17/09/2025
Letícia Mendes Machado;93667794258;04/09/2025
Henrique Moura Moreira;88484866300;17/05/2025
Felipe Silva Farias;06289810820;23/08/2025
Paulo Cavalcanti Pereira;74296928422;28/02/2025
Gabriela Monteiro Cardoso;38828266309;15/11/2025
William Barbosa Monteiro;18142340984;01/12/2025
Ana Martins Castro;82783009684;03/09/2025
Nathalia Moreira Correia;73903600628;13/09/2025
Alice Machado Araújo;24803990018;26/05/2025
Miguel Silva Mendes;76517683291;07/05/2025
Gabriela Pereira Lopes;62065972963;13/11/2025
Pedro Barbosa Monteiro;97606593604;19/03/2025
